name,url,comment
"OneTrust","https://privacyportal-cdn.onetrust.com/dsarwebform/37bcc497-a196-48f1-a08b-e897b5a77859/08a01c64-41fd-4b4e-9d42-cde44371a422.html",""
"OpenTable","https://www.opentable.com/legal/privacy-policy-additional-disclosures-california",""
"Pacific Gas & Electric","https://pgeipaprod.service-now.com/privacy_consumer",""
"Papa John's","https://www.papajohns.com/privacy-policy.html","(Your California privacy rights.)"
"Patreon","https://privacy.patreon.com/policies?modal=take-control#compliance-with-california-privacy-laws",""
"Paypal","https://www.paypal.com/us/smarthelp/contact-us?email=privacy",""
"Peloton","https://www.onepeloton.com/california-privacy-notice",""
"Petco","https://dsar.oncentrl.com/petco_rightsrequest.html",""
"Playstation","https://www.playstation.com/en-us/network/legal/privacy-policy/#your-california-privacy-rights-and-do-not-track",""
"Pfizer","https://www.pfizer.com/individualrights",""
"Pinterest","https://policy.pinterest.com/en/privacy-policy",""
"Pipl","https://pipl.com/privacy-documents/california-privacy-notice",""
"Polygon","https://www.polygon.com/contact#donotsell",""
"Rakuten (Ebates)","https://www.rakuten.com/privacy-preferences.htm",""
"Ralphs","https://www.ralphs.com/i/privacy-policy/rights-and-choices",""
"Red Robin","https://www.redrobin.com/tools/privacy-policy.html","(Notice to California Residents.)"
"Reed Business Information","https://www.reedbusiness.com/ccpa-privacy-notice/",""
"Reed Exhibitions","https://privacy.reedexpo.com/en-us/ccpa.html",""
"Robinhood Financial","https://cdn.robinhood.com/assets/robinhood/legal/RHF%20Privacy%20and%20Security.pdf","(California Residents)"
"Rocket Mortgage","https://www.rocketmortgage.com/legal/security-privacy",""
"Roku","https://privacy.roku.com/ccpa",""
"Salesforce","https://www.salesforce.com/form/other/privacy-request/",""
"Samsung","https://www.samsung.com/us/privacy/ccpa/",""
"SBNation","https://www.sbnation.com/contact#donotsell",""
"SCE Southern California Edison","https://www.sce.com/california-consumer-privacy-act-information-request",""
"SEGA","https://www.sega.com/Privacy/#7.Your_questions_and_how_to_contact_us","(5. Your choices and rights)"
"Sempra Energy","https://www.sempra.com/privacy#tab-2262",""
"Sephora","https://www.sephora.com/beauty/privacy-policy#USCaliforniaPrivacyNotices",""
"Simple","https://www.simple.com/policies/simple-privacy-policy",""
"Slack","https://slack.com/privacy-policy","(Your California Privacy Rights)"
"Snapchat","https://www.snap.com/en-US/privacy/california-privacy-notice",""
"Sony Pictures","https://secure.sonypictures.com/corp/contactus.html",""
"Southwest Airlines","https://t.iluv.southwest.com/webApp/swaAPP_DataPrivacy_CustomerContact",""
"Specialty's Café & Bakery","https://privacyportal-cdn.onetrust.com/dsarwebform/e6b1afd0-8667-4955-ba55-afee1cab812c/d07189dd-694f-4bb8-8dbc-8625a951309e.html",""
"Spectrum-TimeWarnerCable","https://www.spectrum.com/policies/your-privacy-rights-opt-out",""
"Spotify","https://www.spotify.com/us/legal/california-privacy-disclosure/",""
"Sprint","https://www.sprint.com/en/ccpaportal.html",""
"Square","https://squareup.com/us/en/legal/general/privacy","(Rights of California Residents)"
"Squarespace","https://www.squarespace.com/privacy/","(California Residents)"
